,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
0,s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25/09/21,2020,PG-13,90,Documentaries
1,s3,TV Show,Ganglands,Julien Leclercq,France,24/09/21,2021,TV-MA,1,"Crime TV Shows, International TV Shows, TV Action & Adventure"
2,s6,TV Show,Midnight Mass,Mike Flanagan,United States,24/09/21,2021,TV-MA,1,"TV Dramas, TV Horror, TV Mysteries"
3,s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,22/09/21,2021,TV-PG,91,"Children & Family Movies, Comedies"
5,s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,24/09/21,2021,TV-14,9,"British TV Shows, Reality TV"
6,s10,Movie,The Starling,Theodore Melfi,United States,24/09/21,2021,PG-13,104,"Comedies, Dramas"
7,s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,01/05/21,2019,TV-Y7,87,"Children & Family Movies, Comedies, Music & Musicals"
8,s13,Movie,Je Suis Karl,Christian Schwochow,Germany,23/09/21,2021,TV-MA,127,"Dramas, International Movies"
9,s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,01/05/21,2013,TV-Y7,76,"Children & Family Movies, Music & Musicals"
10,s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,01/05/21,2014,TV-Y7,76,"Children & Family Movies, Comedies"
11,s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,01/05/21,2013,TV-Y7,71,"Children & Family Movies, Comedies"
12,s852,Movie,99 Songs (Tamil), ,Pakistan,21/05/21,2021,TV-14,131,"Dramas, International Movies, Music & Musicals"
13,s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,13/07/21,2021,TV-14,39,Movies
14,s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12/06/21,2021,TV-MA,36,Movies
15,s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12/06/21,2021,TV-MA,34,Movies
16,s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,07/05/21,2021,TV-14,35,Comedies
17,s4,TV Show,Jailbirds New Orleans, ,Pakistan,24/09/21,2021,TV-MA,1,"Docuseries, Reality TV"
18,s15,TV Show,Crime Stories: India Detectives, ,Pakistan,22/09/21,2021,TV-MA,1,"British TV Shows, Crime TV Shows, Docuseries"
19,s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,26/11/19,2019,TV-Y,46,Children & Family Movies
20,s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,15/06/18,2018,TV-Y,1,Kids' TV
21,s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,15/06/18,2018,TV-Y,1,Kids' TV
22,s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,18/05/18,2018,TV-Y,1,Kids' TV
23,s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha", ,24/09/21,2021,PG,91,Children & Family Movies
24,s12,TV Show,Bangkok Breaking,Kongkiat Komesiri, ,23/09/21,2021,TV-MA,1,"Crime TV Shows, International TV Shows, TV Action & Adventure"
25,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams", ,22/09/21,2020,TV-MA,67,"Documentaries, International Movies"
26,s7930,Movie,Samudri Lootere,Anirban Majumder, ,18/06/19,2018,TV-Y,65,Children & Family Movies
